Game,Day,Date,StartTime,LOG,EndTime,Home,Attendance,Opp,TeamScore,OppScore,PointDiff,Win,OT,Season,Wins,Losses,Streak,Rivalry,Celtics,Knicks
41,Monday,2015-01-19,14:00:00,128,16:08:00,1,19040,Washington Wizards,76,111,-35,0,0,2014,8,33,-2,0,0,0
42,Wednesday,2015-01-21,19:00:00,140,21:20:00,0,13201,New York Knicks,91,98,-7,0,0,2014,8,34,-3,1,0,1
43,Friday,2015-01-23,19:00:00,131,21:11:00,0,13640,Toronto Raptors,86,91,-5,0,0,2014,8,35,-4,0,0,0
44,Saturday,2015-01-24,20:00:00,129,22:09:00,1,17579,Memphis Grizzlies,83,101,-18,0,0,2014,8,36,-5,0,0,0
45,Monday,2015-01-26,20:00:00,126,22:06:00,1,16419,New Orleans Pelicans,74,99,-25,0,0,2014,8,37,-6,0,0,0
46,Wednesday,2015-01-28,19:00:00,122,21:02:00,0,11213,Detroit Pistons,89,69,20,1,0,2014,9,37,1,0,0,0
47,Friday,2015-01-30,19:00:00,132,21:12:00,0,14333,Minnesota Timberwolves,103,94,9,1,0,2014,10,37,2,0,0,0
48,Saturday,2015-01-31,19:30:00,128,21:38:00,1,19006,Atlanta Hawks,85,91,-6,0,0,2014,10,38,-1,0,0,0
49,Monday,2015-02-02,19:00:00,133,21:13:00,1,20562,Cleveland Cavaliers,84,97,-13,0,0,2014,10,39,-2,0,0,0
50,Tuesday,2015-02-03,19:00:00,145,21:25:00,0,10290,Denver Nuggets,105,98,7,1,0,2014,11,39,1,0,0,0
51,Friday,2015-02-06,19:30:00,126,21:36:00,1,18322,Boston Celtics,96,107,-11,0,0,2014,11,40,-1,1,1,0
52,Saturday,2015-02-07,19:30:00,132,21:42:00,0,16739,Charlotte Hornets,89,81,8,1,0,2014,12,40,1,0,0,0
53,Monday,2015-02-09,19:00:00,136,21:16:00,0,16247,Golden State Warriors,84,89,-5,0,0,2014,12,41,-1,0,0,0
54,Friday,2015-02-20,19:00:00,135,21:15:00,0,16777,Indiana Pacers,95,106,-11,0,0,2014,12,42,-2,0,0,0
55,Sunday,2015-02-22,18:00:00,146,20:26:00,1,16108,Orlando Magic,98,103,-5,0,0,2014,12,43,-3,0,0,0
56,Monday,2015-02-23,19:30:00,140,21:50:00,1,19802,Miami Heat,108,119,-11,0,0,2014,12,44,-4,0,0,0
57,Wednesday,2015-02-25,20:00:00,131,22:11:00,1,12763,Milwaukee Bucks,88,104,-16,0,0,2014,12,45,-5,0,0,0
58,Friday,2015-02-27,19:00:00,144,21:24:00,0,18089,Washington Wizards,89,81,8,1,0,2014,13,45,1,0,0,0
59,Sunday,2015-03-01,18:00:00,136,20:16:00,1,16581,Indiana Pacers,74,94,-20,0,0,2014,13,46,-1,0,0,0
60,Monday,2015-03-02,19:00:00,126,21:06:00,0,10742,Toronto Raptors,103,114,-11,0,0,2014,13,47,-2,0,0,0
61,Wednesday,2015-03-04,20:00:00,165,22:45:00,1,18203,Oklahoma City Thunder,118,123,-5,0,1,2014,13,48,-3,0,0,0
62,Friday,2015-03-06,19:00:00,143,21:23:00,0,15811,Utah Jazz,83,89,-6,0,0,2014,13,49,-4,0,0,0
63,Saturday,2015-03-07,19:30:00,126,21:36:00,0,17624,Atlanta Hawks,92,84,8,1,0,2014,14,49,1,0,0,0
64,Wednesday,2015-03-11,19:00:00,148,21:28:00,0,12400,Chicago Bulls,95,104,-9,0,1,2014,14,50,-1,0,0,0
65,Friday,2015-03-13,19:00:00,147,21:27:00,0,12331,Sacramento Kings,114,107,7,1,0,2014,15,50,1,0,0,0
66,Saturday,2015-03-14,19:30:00,137,21:47:00,0,14865,Brooklyn Nets,87,94,-7,0,0,2014,15,51,-1,0,0,0
67,Monday,2015-03-16,19:30:00,127,21:37:00,1,16553,Boston Celtics,89,108,-19,0,0,2014,15,52,-2,1,1,0
68,Wednesday,2015-03-18,19:00:00,132,21:12:00,0,10776,Detroit Pistons,94,83,11,1,0,2014,16,52,1,0,0,0
69,Friday,2015-03-20,19:00:00,138,21:18:00,0,10079,New York Knicks,97,81,16,1,0,2014,17,52,2,1,0,1
