"Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","cLI","Streak","Orig..Scheduled","Year"
156,"Sunday Sep 21","boxscore","PHI","@","OAK","L-wo",6,8,10,"71-85",5,"20.5","Doolittle","González","","3:48","D",25126,0,"-","",2014
157,"Tuesday Sep 23","boxscore","PHI","@","MIA","L",0,2,NA,"71-86",5,"21.5","Álvarez","Hamels","Cishek","2:20","N",18969,0,"--","",2014
158,"Wednesday Sep 24","boxscore","PHI","@","MIA","W",2,1,NA,"72-86",5,"21.0","Kendrick","Hatcher","Papelbon","2:54","N",22491,0,"+","",2014
159,"Thursday Sep 25","boxscore","PHI","@","MIA","L",4,6,NA,"72-87",5,"21.5","Koehler","Diekman","Cishek","3:01","D",24259,0,"-","",2014
160,"Friday Sep 26","boxscore","PHI","","ATL","W",5,4,NA,"73-87",5,"21.0","García","Walden","Papelbon","2:41","N",33121,0,"+","",2014
161,"Saturday Sep 27","boxscore","PHI","","ATL","L",2,4,NA,"73-88",5,"22.0","Harang","Burnett","Kimbrel","3:05","N",33761,0,"-","",2014
162,"Sunday Sep 28","boxscore","PHI","","ATL","L",1,2,NA,"73-89",5,"23.0","Avilán","Hamels","Kimbrel","2:18","D",38082,0,"--","",2014
1,"Monday Apr 6","boxscore","PHI","","BOS","L",0,8,NA,"0-1",3,"1","Buchholz","Hamels","","3:01","D",45549,0.88,"-","",2015
2,"Wednesday Apr 8","boxscore","PHI","","BOS","W",4,2,NA,"1-1",2,"1.5","Harang","Porcello","Papelbon","2:54","N",26465,0.88,"+","",2015
3,"Thursday Apr 9","boxscore","PHI","","BOS","L",2,6,NA,"1-2",3,"2","Masterson","Buchanan","","3:08","N",23418,0.89,"-","",2015
4,"Friday Apr 10","boxscore","PHI","","WSN","W",4,1,NA,"2-2",2,"2","García","Gonzalez","Papelbon","2:30","N",19047,1.01,"+","",2015
