Game,Date,Tm,Opp,W.L,R,RA,Rank_Standings,Game_Length,Day_Night,Attendance,CLI,Streak,Home,FullDate,Year,start_time_ET
31,5/9/2015,PHI,NYM,L,2,3,5,2:44,N,29373,0.65,-,0,Saturday May 9 2015,2015,7:05 PM
32,5/10/2015,PHI,NYM,L,4,7,5,2:57,D,27935,0.54,--,0,Sunday May 10 2015,2015,1:35 PM
33,5/11/2015,PHI,PIT,L,3,4,5,2:55,N,21358,0.42,---,0,Monday May 11 2015,2015,7:05 PM
34,5/12/2015,PHI,PIT,L,2,7,5,2:49,N,20393,0.37,----,0,Tuesday May 12 2015,2015,7:05 PM
35,5/13/2015,PHI,PIT,W,3,2,5,2:37,N,29576,0.34,+,0,Wednesday May 13 2015,2015,7:05 PM
36,5/14/2015,PHI,PIT,W,4,2,5,2:40,D,29205,0.38,++,0,Thursday May 14 2015,2015,1:05 PM
37,5/15/2015,PHI,ARI,W,4,3,5,3:05,N,21383,0.44,+++,0,Friday May 15 2015,2015,7:05 PM
38,5/16/2015,PHI,ARI,W,7,5,5,3:14,N,33649,0.48,++++,0,Saturday May 16 2015,2015,7:05 PM
39,5/17/2015,PHI,ARI,W,6,0,5,2:52,D,22123,0.53,+++++,0,Sunday May 17 2015,2015,1:35 PM
40,5/18/2015,PHI,COL,W,4,3,4,3:14,N,24061,0.54,++++++,1,Monday May 18 2015,2015,8:40 PM
41,5/19/2015,PHI,COL,L,5,6,4,2:54,N,21249,0.63,-,1,Tuesday May 19 2015,2015,8:40 PM
42,5/20/2015,PHI,COL,W,4,2,4,2:50,N,21714,0.6,+,1,Wednesday May 20 2015,2015,8:40 PM
43,5/21/2015,PHI,COL,L,3,7,4,3:15,D,25418,0.61,-,1,Thursday May 21 2015,2015,3:10 PM
44,5/22/2015,PHI,WSN,L,1,2,4,2:35,N,35893,0.66,--,1,Friday May 22 2015,2015,7:05 PM
45,5/23/2015,PHI,WSN,W,8,1,4,2:33,D,41722,0.61,+,1,Saturday May 23 2015,2015,4:05 PM
46,5/24/2015,PHI,WSN,L,1,4,4,2:45,D,41044,0.68,-,1,Sunday May 24 2015,2015,1:35 PM
