Game,Day,Date,xStartTime,xLOG,xEndTime,Home,Attendance,Opp,TeamScore,OppScore,PointDiff,Win,OT,SO,Season,Wins,Losses,Streak,Rivalry,Penguins,Rangers,Devils,RegularSeason,ConfQF
79,Sunday,2015-04-05,17:00:00,150,19:30:00,0,,Pittsburgh Penguins,4,1,3,1,0,0,2014,32,29,1,1,1,0,0,1,0
80,Tuesday,2015-04-07,19:00:00,150,21:30:00,0,,New York Islanders,5,4,1,1,0,0,2014,33,29,2,0,0,0,0,1,0
81,Thursday,2015-04-09,19:00:00,150,21:30:00,0,,Carolina Hurricanes,1,3,-2,0,0,0,2014,33,30,-1,0,0,0,0,1,0
82,Saturday,2015-04-11,17:00:00,150,19:30:00,0,,Ottawa Senators,1,3,-2,0,0,0,2014,33,31,-2,0,0,0,0,1,0
1,Thursday,2015-10-08,19:00:00,154,21:34:00,1,19092,Tampa Bay Lightning,2,3,-1,0,1,0,2015,0,0,-1,0,0,0,0,1,0
2,Saturday,2015-10-10,17:00:00,157,19:37:00,1,19434,Florida Panthers,1,7,-6,0,0,0,2015,0,1,-1,0,0,0,0,1,0
3,Monday,2015-10-12,19:00:00,149,21:29:00,0,19769,Florida Panthers,1,0,1,1,0,0,2015,1,1,1,0,0,0,0,1,0
4,Wednesday,2015-10-14,19:00:00,145,21:25:00,0,19779,Chicago Blackhawks,3,0,3,1,0,0,2015,2,1,2,0,0,0,0,1,0
5,Tuesday,2015-10-20,19:00:00,155,21:35:00,0,19077,Dallas Stars,1,2,-1,0,0,0,2015,2,2,-1,0,0,0,0,1,0
6,Wednesday,2015-10-21,19:00:00,153,21:33:00,1,17565,Boston Bruins,5,4,1,1,1,0,2015,3,2,1,0,0,0,0,1,0
7,Saturday,2015-10-24,17:00:00,172,19:52:00,0,19805,New York Rangers,3,2,1,1,1,1,2015,4,2,2,1,0,1,0,1,0
8,Tuesday,2015-10-27,19:00:00,157,21:37:00,0,19432,Buffalo Sabres,3,4,-1,0,1,0,2015,4,2,-1,0,0,0,0,1,0
9,Thursday,2015-10-29,19:00:00,152,21:32:00,0,19241,New Jersey Devils,1,4,-3,0,0,0,2015,4,3,-1,1,0,0,1,1,0
10,Friday,2015-10-30,19:00:00,157,21:37:00,1,15962,Buffalo Sabres,1,3,-2,0,0,0,2015,4,4,-2,0,0,0,0,1,0
11,Monday,2015-11-02,19:00:00,149,21:29:00,1,18264,Vancouver Canucks,1,4,-3,0,0,0,2015,4,5,-3,0,0,0,0,1,0
12,Tuesday,2015-11-03,19:00:00,148,21:28:00,1,16839,Edmonton Oilers,2,4,-2,0,0,0,2015,4,6,-4,0,0,0,0,1,0
13,Thursday,2015-11-05,19:00:00,153,21:33:00,1,19289,Calgary Flames,1,2,-1,0,1,0,2015,4,6,-1,0,0,0,0,1,0
14,Saturday,2015-11-07,17:00:00,147,19:27:00,1,15294,Winnipeg Jets,3,0,3,1,0,0,2015,5,6,1,0,0,0,0,1,0
15,Tuesday,2015-11-10,19:00:00,145,21:25:00,0,18587,Colorado Avalanche,0,4,-4,0,0,0,2015,5,7,-1,0,0,0,0,1,0
16,Thursday,2015-11-12,19:00:00,154,21:34:00,0,19414,Washington Capitals,2,5,-3,0,0,0,2015,5,8,-2,0,0,0,0,1,0
17,Saturday,2015-11-14,17:00:00,141,19:21:00,1,13758,Carolina Hurricanes,3,2,1,1,1,0,2015,6,8,1,0,0,0,0,1,0
18,Tuesday,2015-11-17,19:00:00,156,21:36:00,0,18846,Los Angeles Kings,2,3,-1,0,1,1,2015,6,8,-1,0,0,0,0,1,0
19,Thursday,2015-11-19,19:00:00,157,21:37:00,0,18229,San Jose Sharks,0,1,-1,0,1,0,2015,6,8,-1,0,0,0,0,1,0
20,Saturday,2015-11-21,17:00:00,149,19:29:00,1,18578,Ottawa Senators,0,4,-4,0,0,0,2015,6,9,-1,0,0,0,0,1,0
