,date,hour,region,stop_count,Game,Day,StartTime,xEndTime,Home,Opp,TeamScore,OppScore,PointDiff,DefTO,OffTO,TODiff,Win,OT,Season,Wins,Losses,Streak,Rivalry,Giants,Cowboys,RegularSeason,Division,ConfChamp,SuperBowl,gameday,start_hour,end_hour,game_period,baseline,percent_change_in_stops,area_km2,stop_density
49,2014-09-07,9,5,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,1.5242261103633916,-1.0,28.274333882308138,0.0
50,2014-09-07,10,1,1,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.06191117092866756,15.152173913043478,3.141592653589793,0.3183098861837907
51,2014-09-07,10,2,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.4300134589502019,-1.0,9.42477796076938,0.0
52,2014-09-07,10,3,2,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,1.5585464333781964,0.2832469775474957,15.707963267948966,0.12732395447351627
53,2014-09-07,10,4,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,1.914535666218035,-1.0,21.991148575128552,0.0
54,2014-09-07,10,5,4,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,1.6352624495289367,1.446090534979424,28.274333882308138,0.1414710605261292
55,2014-09-07,11,1,1,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.04172274562584118,22.967741935483872,3.141592653589793,0.3183098861837907
56,2014-09-07,11,2,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.4084791386271871,-1.0,9.42477796076938,0.0
57,2014-09-07,11,3,3,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,1.4353970390309556,1.0900140646976089,15.707963267948966,0.19098593171027442
58,2014-09-07,11,4,3,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,1.7907133243606999,0.6753100338218715,21.991148575128552,0.136418522650196
59,2014-09-07,11,5,1,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,1.5141318977119784,-0.33955555555555555,28.274333882308138,0.0353677651315323
60,2014-09-07,12,1,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.05047106325706595,-1.0,3.141592653589793,0.0
61,2014-09-07,12,2,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,0.31763122476446837,-1.0,9.42477796076938,0.0
62,2014-09-07,12,3,1,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,1.265814266487214,-0.20999468367889426,15.707963267948966,0.06366197723675814
63,2014-09-07,12,4,1,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,1.5437415881561238,-0.35222319093286836,21.991148575128552,0.04547284088339867
64,2014-09-07,12,5,0,1,Sunday,13:02:00,16:14:00,0.0,Jacksonville Jaguars,34.0,17.0,17.0,1.0,3.0,-2.0,1.0,0.0,2014.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,13,16,before,1.30349932705249,-1.0,28.274333882308138,0.0
